Price,Date
18795.1967,2020-12-01
19226.22,2020-12-02
19450.2667,2020-12-03
18657.42,2020-12-04
19157.925,2020-12-05
19386.7117,2020-12-06
19185.3967,2020-12-07
18322.5533,2020-12-08
18553.92,2020-12-09
18255.9233,2020-12-10
18039.7617,2020-12-11
18811.0617,2020-12-12
19168.7533,2020-12-13
19274.8733,2020-12-14
19444.5483,2020-12-15
21349.8467,2020-12-16
22812.2817,2020-12-17
23133.2867,2020-12-18
23835.305,2020-12-19
23458.9967,2020-12-20
22718.225,2020-12-21
23817.3067,2020-12-22
23229.0133,2020-12-23
23729.6483,2020-12-24
24707.8017,2020-12-25
26445.95,2020-12-26
26248.2767,2020-12-27
27041.8667,2020-12-28
27353.9783,2020-12-29
28886.04,2020-12-30
28956.265,2020-12-31
29391.775,2021-01-01
32198.48,2021-01-02
33033.62,2021-01-03
32017.565,2021-01-04
34035.0067,2021-01-05
36826.9783,2021-01-06
39475.6067,2021-01-07
40616.7217,2021-01-08
40227.8683,2021-01-09
38191.55,2021-01-10
35463.1883,2021-01-11
34059.9133,2021-01-12
37375.8033,2021-01-13
39138.075,2021-01-14
36770.0433,2021-01-15
36029.1967,2021-01-16
35845.0217,2021-01-17
36656.9933,2021-01-18
35929.1683,2021-01-19
35510.67,2021-01-20
30838.5,2021-01-21
33018.825,2021-01-22
32106.7033,2021-01-23
32297.165,2021-01-24
32255.35,2021-01-25
32518.3583,2021-01-26
30425.3933,2021-01-27
33420.045,2021-01-28
34264.01,2021-01-29
34324.2717,2021-01-30
33129.7433,2021-01-31
33543.77,2021-02-01
35528.31,2021-02-02
37685.2767,2021-02-03
36984.6783,2021-02-04
38306.2467,2021-02-05
39269.3417,2021-02-06
38862.35,2021-02-07
46436.09,2021-02-08
46502.2933,2021-02-09
44855.6167,2021-02-10
48004.6533,2021-02-11
47410.4033,2021-02-12
47211.6683,2021-02-13
48633.26,2021-02-14
47934.1267,2021-02-15
49185.7283,2021-02-16
52127.32,2021-02-17
51573.4067,2021-02-18
55923.13,2021-02-19
55898.44,2021-02-20
57441.6,2021-02-21
54117.495,2021-02-22
48901.0167,2021-02-23
49734.52,2021-02-24
47104.7833,2021-02-25
46329.74,2021-02-26
46189.3783,2021-02-27
45256.4133,2021-02-28
49619.6433,2021-03-01
48502.8083,2021-03-02
50422.1683,2021-03-03
48365.145,2021-03-04
48780.96,2021-03-05
48887.0233,2021-03-06
50985.9417,2021-03-07
52393.36,2021-03-08
54932.3367,2021-03-09
55890.255,2021-03-10
57827.6133,2021-03-11
57254.9,2021-03-12
61184.8267,2021-03-13
58991.5683,2021-03-14
55652.0067,2021-03-15
56921.495,2021-03-16
58899.975,2021-03-17
57638.09,2021-03-18
58069.2567,2021-03-19
58119.0917,2021-03-20
57372.9783,2021-03-21
54091.9683,2021-03-22
54343.355,2021-03-23
52291.855,2021-03-24
51344.275,2021-03-25
55046.03,2021-03-26
55853.7717,2021-03-27
55777.2867,2021-03-28
57641.5567,2021-03-29
58795.9467,2021-03-30
58793.8417,2021-03-31
58726.6833,2021-04-01
58981.1117,2021-04-02
57065.38,2021-04-03
58221.755,2021-04-04
59140.685,2021-04-05
58011.415,2021-04-06
55950.97,2021-04-07
58087.18,2021-04-08
58119.59,2021-04-09
59791.845,2021-04-10
59990.8733,2021-04-11
59856.7133,2021-04-12
63564.8333,2021-04-13
62954.5883,2021-04-14
63223.7683,2021-04-15
61394.885,2021-04-16
60023.5133,2021-04-17
56232.3767,2021-04-18
55668.2283,2021-04-19
56499.2767,2021-04-20
53812.075,2021-04-21
51722.1333,2021-04-22
51161.1467,2021-04-23
50123.7367,2021-04-24
49128.24,2021-04-25
54069.5117,2021-04-26
55066.08,2021-04-27
54877.7017,2021-04-28
53579.9583,2021-04-29
57736.8583,2021-04-30
57836.0067,2021-05-01
56608.8033,2021-05-02
57189.4833,2021-05-03
53240.3383,2021-05-04
57501.215,2021-05-05
56437.9833,2021-05-06
57351.0667,2021-05-07
58940.025,2021-05-08
58290.33,2021-05-09
55862.21,2021-05-10
56737.8433,2021-05-11
49514.9883,2021-05-12
49724.3183,2021-05-13
49903.4717,2021-05-14
46777.2883,2021-05-15
46493.5217,2021-05-16
43563.3433,2021-05-17
42896.3217,2021-05-18
36765.5983,2021-05-19
40593.8117,2021-05-20
37361.405,2021-05-21
37516.8317,2021-05-22
34720.7417,2021-05-23
38856.76,2021-05-24
38378.96,2021-05-25
39299.3583,2021-05-26
38534.7717,2021-05-27
35678.94,2021-05-28
34613.67,2021-05-29
35649.8283,2021-05-30
37277.445,2021-05-31
36681.7417,2021-06-01
37583.65,2021-06-02
39232.6517,2021-06-03
36851.8417,2021-06-04
35534.9267,2021-06-05
35801.1317,2021-06-06
33580.7767,2021-06-07
33406.4817,2021-06-08
37383.66,2021-06-09
36683.9167,2021-06-10
37338.0367,2021-06-11
35545.9817,2021-06-12
39018.0383,2021-06-13
40518.6883,2021-06-14
40160.7267,2021-06-15
38344.7233,2021-06-16
38087.2533,2021-06-17
35814.6417,2021-06-18
35519.7117,2021-06-19
35605.68,2021-06-20
31651.5733,2021-06-21
32538.255,2021-06-22
33690.375,2021-06-23
34657.9733,2021-06-24
31586.9033,2021-06-25
32308.725,2021-06-26
34708.96,2021-06-27
34497.755,2021-06-28
35918.88,2021-06-29
35053.4183,2021-06-30
33524.9833,2021-07-01
33803.965,2021-07-02
34684.1333,2021-07-03
35287.2033,2021-07-04
33694.795,2021-07-05
34233.8467,2021-07-06
33876.69,2021-07-07
32869.9583,2021-07-08
33805.3783,2021-07-09
33513.4867,2021-07-10
34254,2021-07-11
