No.,Name,Political Party,Term Start,Term End
1 (1 of 2),John A. Macdonald,Liberal-Conservative,1 July 1867,5 November 1873
2,Alexander Mackenzie,Liberal,7 November 1873,8 October 1878
1 (2 of 2),John A. Macdonald,Liberal-Conservative,17 October 1878,6 June 1891
3,John Abbott,Liberal-Conservative,16 June 1891,24 November 1891
4,John Thompson,Liberal-Conservative,5 December 1892,12 December 1894
5,Mackenzie Bowell,Conservative,21 December 1894,27 April 1896
6,Charles Tupper,Conservative,1 May 1896,8 July 1896
7,Wilfrid Laurier,Liberal,11 July 1896,10/6/1911
8,Robert Borden,Government (Unionist),10/10/1911,7/10/1920
9 (1 of 2),Arthur Meighen,Conservative,7/10/1920,12/29/1921
10 (1 of 3),William Lyon Mackenzie King,Liberal,12/29/1921,6/28/1926
9 (2 of 2),Arthur Meighen,Conservative,6/29/1926,9/25/1926
10 (2 of 3),William Lyon Mackenzie King,Liberal,9/25/1926,8/7/1930
11,R. B. Bennett,Conservative,8/7/1930,10/23/1935
10 (3 of 3),William Lyon Mackenzie King,Liberal,10/23/1935,11/15/1948
12,Louis St. Laurent,Liberal,11/15/1948,6/21/1957
13,John Diefenbaker,Progressive Conservative,6/21/1957,4/22/1963
14,Lester B. Pearson,Liberal,4/22/1963,4/20/1968
15 (1 of 2),Pierre Trudeau,Liberal,4/20/1968,6/3/1979
16,Joe Clark,Progressive Conservative,6/4/1979,3/2/1980
15 (2 of 2),Pierre Trudeau,Liberal,3/3/1980,6/29/1984
17,John Turner,Liberal,6/30/1984,9/16/1984
18,Brian Mulroney,Progressive Conservative,9/17/1984,6/24/1993
19,Kim Campbell,Progressive Conservative,6/25/1993,11/3/1993
20,Jean Chrétien,Liberal,11/4/1993,12/11/2003
21,Paul Martin,Liberal,12/12/2003,2/5/2006
22,Stephen Harper,Conservative,2/6/2006,11/3/2015
23,Justin Trudeau,Liberal,11/4/2015,3/14/2025
24,Mark Carney,Liberal,3/14/2025,NA
